lat lon wh tt qc back ws
-17.837503 147.67769 2.367 8631.141372793703 1.0 9.96 11.74
-17.886974 147.6978 2.325 8631.141384593793 1.0 9.92 11.88
-17.936443 147.71791 2.3200002 8631.141396416584 1.0 9.929999 11.849999
-17.985909 147.73804 2.1990001 8631.141408216674 1.0 9.92 11.88
-17.95647 147.09721 1.9290001 8639.526057400159 1.0 10.7 9.08
-17.907015 147.11734 1.9710001 8639.52606915508 1.0 10.719999 9.01
-17.857555 147.13744 1.9080001 8639.526081000455 1.0 10.78 8.8
-17.808092 147.15753 1.7040001 8639.526092755375 1.0 10.88 8.44
-17.758627 147.1776 1.605 8639.52610460075 1.0 10.91 8.34
-17.709158 147.19766 1.8600001 8639.526116355672 1.0 10.99 8.059999
-17.659685 147.21771 1.6790001 8639.52612820093 1.0 11.03 7.9199996
-17.56073 147.25777 1.5200001 8639.526151801227 1.0 10.99 8.059999
-17.511248 147.27779 1.7350001 8639.526163646602 1.0 10.94 8.23
-17.461763 147.29778 1.764 8639.526175401523 1.0 10.92 8.3
-17.412273 147.31776 1.812 8639.526187246782 1.0 10.929999 8.2699995
-17.362783 147.33774 1.71 8639.526199092157 1.0 10.9 8.37
-17.313288 147.3577 1.8330001 8639.526210847078 1.0 10.91 8.34
-17.263788 147.37764 1.672 8639.526222692453 1.0 10.87 8.48
-17.214289 147.39757 1.6240001 8639.526234447374 1.0 10.84 8.59
-17.164783 147.41748 1.743 8639.526246292633 1.0 10.84 8.59
-17.115276 147.4374 1.8290001 8639.526258047554 1.0 10.84 8.59
-17.065765 147.45729 1.728 8639.52626989293 1.0 10.88 8.44
-17.01625 147.47717 1.8780001 8639.526281738305 1.0 10.87 8.48
-17.01171 147.34694 1.9010001 8641.05681723135 1.0 10.889999 8.41
-17.061235 147.36682 1.6380001 8641.05682903144 1.0 10.91 8.34
-17.11076 147.38672 1.7580001 8641.056840842939 1.0 10.94 8.23
-17.160278 147.40663 1.641 8641.056852654321 1.0 10.99 8.059999
-17.209795 147.42656 1.8550001 8641.056864454527 1.0 10.98 8.09
-17.259308 147.4465 1.84 8641.05687626591 1.0 10.969999 8.13
-17.308819 147.46645 1.8420001 8641.056888077292 1.0 10.99 8.059999
-17.358324 147.4864 2.1030002 8641.056899877498 1.0 11.01 7.99
-17.40783 147.50638 1.6760001 8641.05691168888 1.0 11.05 7.85
-17.45733 147.52637 1.8440001 8641.056923500379 1.0 11.099999 7.6699996
-17.506826 147.54637 1.6630001 8641.056935300468 1.0 11.099999 7.6699996
-17.55632 147.56639 1.628 8641.05694711185 1.0 11.11 7.6299996
-17.605812 147.58641 1.4940001 8641.05695892335 1.0 11.16 7.46
-17.655298 147.60646 1.5550001 8641.056970723439 1.0 11.2 7.3199997
-17.704782 147.62651 1.4280001 8641.056982534938 1.0 11.219999 7.25
-17.754265 147.64658 1.575 8641.056994335027 1.0 11.219999 7.25
-17.803741 147.66666 1.478 8641.05700614641 1.0 11.219999 7.25
-17.853216 147.68675 1.5280001 8641.057017957908 1.0 11.24 7.18
-17.902687 147.70686 1.5040001 8641.057029757998 1.0 11.23 7.22
-17.952154 147.72697 1.557 8641.057041569497 1.0 11.16 7.46
-17.969484 147.0891 1.241 8649.441706000478 1.0 11.21 7.29
-17.92003 147.10922 0.91 8649.441717845737 1.0 11.2699995 7.08
-17.870575 147.12933 0.874 8649.441729691112 1.0 11.259999 7.12
-17.821114 147.14941 0.95900005 8649.441741446033 1.0 11.2699995 7.08
-17.771648 147.16951 1.0960001 8649.441753291409 1.0 11.23 7.22
-17.722181 147.18958 1.299 8649.44176504633 1.0 11.28 7.0499997
-17.67271 147.20963 1.194 8649.441776891588 1.0 11.28 7.0499997
-17.623236 147.22968 1.192 8649.441788646509 1.0 11.33 6.89
-17.57376 147.2497 1.113 8649.441800491884 1.0 11.309999 6.95
-17.524279 147.26971 1.177 8649.44181233726 1.0 11.34 6.85
-17.474794 147.28972 1.164 8649.44182409218 1.0 11.36 6.79
-17.425308 147.30971 1.1830001 8649.441835937556 1.0 11.37 6.7599998
-17.375816 147.32968 1.3690001 8649.441847692477 1.0 11.36 6.79
-17.326324 147.34964 1.1930001 8649.441859537736 1.0 11.29 7.02
-17.276827 147.3696 1.304 8649.441871383111 1.0 11.2 7.3199997
-17.227327 147.38954 1.266 8649.441883138032 1.0 11.15 7.5
-17.177824 147.40945 1.2060001 8649.441894983407 1.0 11.099999 7.6699996
-17.128319 147.42937 1.3160001 8649.441906738328 1.0 11.099999 7.6699996
-17.07881 147.44926 1.3850001 8649.441918583587 1.0 11.08 7.74
-17.029297 147.46916 1.315 8649.441930338508 1.0 11.09 7.7
-17.021074 147.34889 0.98800004 8650.972471607383 1.0 11.94 5.23
-17.070599 147.36879 0.94100004 8650.972483362304 1.0 11.9 5.3199997
-17.12012 147.38869 0.99700004 8650.972495298018 1.0 11.83 5.48
-17.16964 147.4086 1.144 8650.972507052938 1.0 11.86 5.41
-17.219154 147.42853 1.0300001 8650.97251880786 1.0 11.88 5.37
-17.268665 147.44847 0.99500006 8650.97253056278 1.0 11.91 5.2999997
-17.318174 147.46843 1.233 8650.97254249861 1.0 11.929999 5.25
-17.36768 147.48839 0.845 8650.972554253414 1.0 11.9 5.3199997
-17.417183 147.50838 1.059 8650.972566008335 1.0 11.83 5.48
-17.466682 147.52837 1.0660001 8650.972577944165 1.0 11.8 5.56
-17.516178 147.54837 1.192 8650.972589699086 1.0 11.7699995 5.6299996
-17.56567 147.56839 1.225 8650.972601454007 1.0 11.8 5.56
-17.61516 147.58842 1.215 8650.972613208927 1.0 11.87 5.39
-17.664646 147.60847 1.1570001 8650.972625144641 1.0 11.92 5.27
-17.714128 147.62852 1.1090001 8650.972636899562 1.0 11.969999 5.16
-17.763609 147.6486 1.028 8650.972648654482 1.0 11.99 5.12
-17.813086 147.66869 1.103 8650.972660590312 1.0 11.969999 5.16
-17.862556 147.68878 0.78300005 8650.972672345233 1.0 11.99 5.12
-17.912027 147.7089 0.91700006 8650.972684100154 1.0 11.94 5.23
-17.961493 147.72902 0.86300004 8650.972696035868 1.0 11.92 5.27
-17.608358 147.23222 0.882 8659.357441948727 1.0 11.929999 5.25
-17.5094 147.27226 1.029 8659.357465549023 1.0 11.889999 5.3399997
-17.459915 147.29225 0.82600003 8659.357477394398 1.0 11.88 5.37
-17.410427 147.31224 0.786 8659.357489239774 1.0 11.8 5.56
-17.360937 147.33223 0.94500005 8659.357500994694 1.0 11.75 5.68
-17.311443 147.35219 1.154 8659.357512839953 1.0 11.7 5.81
-17.261946 147.37213 0.9990001 8659.357524594874 1.0 11.719999 5.7599998
-17.212446 147.39207 1.08 8659.35753644025 1.0 11.679999 5.8599997
-17.162943 147.41199 0.79700005 8659.35754819517 1.0 11.599999 6.08
-17.113436 147.4319 0.92200005 8659.357560040546 1.0 11.55 6.22
-17.063927 147.4518 0.95000005 8659.357571885805 1.0 11.48 6.42
-17.014414 147.47168 0.9710001 8659.357583640725 1.0 11.5 6.3599997
-17.008934 147.34169 1.6010001 8660.888118308736 1.0 11.5 6.3599997
-17.058458 147.36159 1.263 8660.888130063657 1.0 11.57 6.16
-17.107979 147.38148 1.338 8660.888141818577 1.0 11.57 6.16
-17.157497 147.4014 1.4350001 8660.888153754291 1.0 11.55 6.22
-17.20701 147.42133 1.4820001 8660.888165509212 1.0 11.53 6.2799997
-17.256523 147.44127 1.343 8660.888177264133 1.0 11.5199995 6.2999997
-17.355536 147.48119 1.4330001 8660.888200954883 1.0 11.5 6.3599997
-17.405039 147.50116 1.3130001 8660.888212709804 1.0 11.469999 6.45
-17.454536 147.52116 1.2270001 8660.888224464725 1.0 11.429999 6.5699997
-17.504032 147.54117 1.1830001 8660.888236400438 1.0 11.4 6.66
-17.553526 147.56117 1.199 8660.88824815536 1.0 11.36 6.79
-17.603014 147.5812 1.2620001 8660.88825991028 1.0 11.33 6.89
-17.652498 147.60126 0.93200004 8660.8882716652 1.0 11.309999 6.95
-17.701982 147.6213 1.2290001 8660.88828360103 1.0 11.28 7.0499997
-17.751461 147.64139 1.2570001 8660.888295355951 1.0 11.309999 6.95
-17.800938 147.66147 1.2310001 8660.888307110872 1.0 11.349999 6.8199997
-17.850409 147.68156 1.1400001 8660.888319046586 1.0 11.41 6.6299996
-17.89988 147.70168 1.1960001 8660.888330801507 1.0 11.41 6.6299996
-17.949345 147.7218 1.0860001 8660.888342556427 1.0 11.389999 6.7
-17.998808 147.74194 1.32 8660.888354492141 1.0 11.32 6.92
-17.95435 147.08759 2.9520001 8669.273007450858 1.0 9.86 12.099999
-17.904896 147.10771 3.022 8669.273019250948 1.0 9.86 12.099999
-17.855436 147.12782 2.901 8669.273031051038 1.0 9.87 12.07
-17.805975 147.14792 3.2210002 8669.273042851244 1.0 9.849999 12.139999
-17.75651 147.168 3.196 8669.273054651334 1.0 9.86 12.099999
-17.70704 147.18806 3.2540002 8669.27306649671 1.0 9.84 12.17
-17.65757 147.20811 3.183 8669.2730782968 1.0 9.91 11.92
-17.608095 147.22816 2.772 8669.273090096889 1.0 9.91 11.92
-17.558617 147.24818 2.9050002 8669.273101897095 1.0 9.91 11.92
-17.509136 147.2682 2.8660002 8669.273113697185 1.0 9.87 12.07
-17.459652 147.28821 2.9770002 8669.273125497275 1.0 9.889999 11.99
-17.410164 147.3082 2.7740002 8669.27313734265 1.0 9.86 12.099999
-17.360672 147.32817 3.2170002 8669.27314914274 1.0 9.88 12.03
-17.311178 147.34813 3.1200001 8669.273160942947 1.0 9.9 11.96
-17.26168 147.36809 3.1230001 8669.273172743036 1.0 9.889999 11.99
-17.21218 147.38802 3.1680002 8669.273184543243 1.0 9.83 12.21
-17.162676 147.40794 2.9970002 8669.273196343333 1.0 9.88 12.03
-17.113169 147.42786 3.028 8669.273208143422 1.0 10.0199995 11.5199995
-17.06366 147.44775 2.983 8669.273219988798 1.0 10.16 11.0199995
-17.014147 147.46764 2.7050002 8669.273231788888 1.0 10.19 10.91
-17.017164 147.34164 2.0240002 8670.803767903592 1.0 10.889999 8.41
-17.066687 147.36153 2.1290002 8670.803779658512 1.0 10.87 8.48
-17.116205 147.38144 2.025 8670.803791413433 1.0 10.88 8.44
-17.165724 147.40135 1.9300001 8670.803803349263 1.0 10.889999 8.41
-17.215237 147.42128 2.002 8670.803815104184 1.0 10.91 8.34
-17.264746 147.44122 2.0080001 8670.803826859104 1.0 10.889999 8.41
-17.314253 147.46118 2.058 8670.803838614025 1.0 10.91 8.34
-17.363756 147.48116 1.9120001 8670.803850549739 1.0 10.92 8.3
-17.413256 147.50113 1.899 8670.80386230466 1.0 10.92 8.3
-17.462753 147.52112 2.0170002 8670.80387405958 1.0 10.929999 8.2699995
-17.512247 147.54114 1.932 8670.80388599541 1.0 10.91 8.34
-17.561737 147.56116 1.815 8670.803897750331 1.0 10.9 8.37
-17.611225 147.58119 2.1090002 8670.803909505252 1.0 10.929999 8.2699995
-17.66071 147.60123 2.042 8670.803921260173 1.0 10.94 8.23
-17.71019 147.62129 1.988 8670.803933195886 1.0 10.969999 8.13
-17.759666 147.64137 1.8180001 8670.803944950807 1.0 10.99 8.059999
-17.809141 147.66145 1.8590001 8670.803956705728 1.0 11.0 8.0199995
-17.858612 147.68155 1.5500001 8670.803968641441 1.0 11.0199995 7.95
-17.90808 147.70166 1.8510001 8670.803980396362 1.0 11.08 7.74
-17.957544 147.72179 1.8490001 8670.803992151283 1.0 11.07 7.77
-17.970146 147.07835 1.3060001 8679.188651123084 1.0 12.19 4.7
-17.92069 147.09848 1.169 8679.188662923174 1.0 12.139999 4.7999997
-17.871233 147.11859 1.439 8679.18867476855 1.0 12.139999 4.7999997
-17.821772 147.13869 1.2780001 8679.18868656864 1.0 12.13 4.8199997
-17.772306 147.15878 1.302 8679.18869836873 1.0 12.13 4.8199997
-17.722837 147.17885 1.187 8679.188710168935 1.0 12.099999 4.88
-17.673367 147.19891 0.95400006 8679.188721969025 1.0 12.08 4.92
-17.623892 147.21895 1.1420001 8679.188733769115 1.0 12.2 4.68
-17.574413 147.23898 1.1290001 8679.18874561449 1.0 12.34 4.42
-17.524933 147.259 1.016 8679.188757414697 1.0 12.349999 4.41
-17.475449 147.279 1.218 8679.188769214787 1.0 12.29 4.5099998
-17.42596 147.299 1.0 8679.188781014876 1.0 12.2699995 4.5499997
-17.37647 147.31897 1.0890001 8679.188792815083 1.0 12.259999 4.5699997
-17.326977 147.33894 1.246 8679.188804615173 1.0 12.19 4.7
-17.27748 147.35889 1.2440001 8679.188816415262 1.0 12.12 4.8399997
-17.128967 147.41867 1.264 8679.188851860934 1.0 12.12 4.8399997
-17.079458 147.43857 1.0730001 8679.188863661024 1.0 12.15 4.7799997
-17.029945 147.45847 1.23 8679.188875461114 1.0 12.2 4.68
-17.02767 147.34288 0.72700006 8680.719417317654 1.0 12.11 4.8599997
-17.077192 147.36278 0.423 8680.719429072575 1.0 12.16 4.7599998
