Date,Wh
20148,1.530553599
20149,1.038140016
201410,1.176939238
201411,1.018593664
201412,0.696680593
20151,1.542183766
20152,1.440013283
20153,1.547556513
20154,1.146729882
20155,1.411952186
20156,2.216522864
20157,1.692367098
20158,1.103144315
20159,0.94947958
201510,1.516734418
201511,0.867059922
201512,1.102541814
20161,0.838440691
20162,1.173403336
20163,1.249590393
20164,1.810318987
20165,1.607463637
20166,1.219572155
20167,1.324987166
20168,1.348093585
20169,0.973039087
201610,1.13937009
201611,1.165784854
201612,0.846919932
20171,0.794504015
20172,1.346251094
20173,0.976623965
20174,1.678051907
20175,1.64352438
20176,1.619100212
20177,1.526604313
20178,1.072012277
20179,1.109136241
201710,1.076740764
201711,1.305514338
201712,0.798848329
20181,1.554241827
20182,1.721798328
20183,1.546868846
20184,1.531016096
20185,1.832533263
20186,1.664182035
20187,1.10865255
20188,1.104281164
20189,1.362124964
201810,0.859911538
201811,1.14720301
201812,1.517231036
