lat lon wh tt qc
-18.596188 150.8237 1.7320001125335693 8634.108438404277 1
-18.645607 150.84401 1.7100000381469727 8634.108450204367 1
-18.695023 150.86435 1.7720000743865967 8634.108462004457 1
-18.744436 150.88469 1.380000114440918 8634.108473827248 1
-18.793844 150.90504 1.4070000648498535 8634.108485627337 1
-18.84325 150.92542 1.380000114440918 8634.108497427427 1
-18.89265 150.9458 1.4560000896453857 8634.108509250218 1
-18.94205 150.9662 1.349000096321106 8634.108521050308 1
-18.991444 150.98662 1.5210000276565552 8634.108532850514 1
-18.037455 150.5966 1.6130000352859497 8644.023950590868 1
-18.086912 150.61676 1.4300000667572021 8644.023962399573 1
-18.136368 150.63693 1.6700000762939453 8644.02397420525 1
-18.18582 150.65712 1.7440000772476196 8644.023986013955 1
