Tz,date,wh
5.399153723225283,1993-02-17 07:23:54.642970,0.6220000267028809
4.565461359975977,1993-02-22 17:28:31.921876,1.3078890906439886
4.87422593127523,1993-02-27 05:22:25.490885,1.0000000794728596
4.845895265306756,1993-03-04 15:27:02.609374,0.6631111568874783
5.253004618373762,1993-03-09 03:20:56.583097,1.384272835471413
7.636363070298841,1993-03-14 13:25:31.650001,2.256800079345703
4.684075560455218,1993-03-19 01:19:27.695047,0.9719090895219282
4.918195651592125,1993-03-24 11:24:04.638670,1.2155001163482666
4.919677035862932,1993-03-28 23:17:58.526988,1.11590914292769
4.693785728462128,1993-04-03 09:22:36.044642,1.5335715157645091
5.158360464632896,1993-04-07 21:16:35.906246,2.0460000038146973
5.643711278875095,1993-04-13 07:21:08.895831,2.2214444478352866
5.906035961754275,1993-04-17 19:15:02.927557,2.390818335793235
