soi,wh
0,1.515165794
1.7,1.103539598
0.1,1.38806197
1.8,1.132890155
1.1,1.373761555
-0.5,1.858186404
-0.2,2.69606778
-0.6,2.128546814
-1,2.247133493
-0.6,1.784400225
-1.3,1.981646872
0.1,1.494228435
-0.3,1.46818643
-0.8,0.97798267
-0.1,0.851100087
0.2,1.169683322
-0.1,2.118420041
-0.1,2.196767926
0.5,1.867571503
-0.3,1.762260512
0.4,1.879256934
0.2,1.873772383
0.7,1.27857694
0.9,1.841835022
1.7,0.953296888
1.8,0.828965473
2.6,1.258005182
1.4,1.786434576
0.7,1.786029863
-0.1,2.007078677
0.6,2.400666833
0.3,2.040234336
1,2.73330703
1.2,2.028717181
1.3,2.119264309
1.3,1.0265764
1.4,1.124349855
1.1,1.258874268
1.9,1.280188668
0.4,1.809093784
0.8,1.81083134
-0.1,1.834387347
0.1,2.03668106
0.2,1.705795139
-0.2,1.908281828
0.3,1.513227153
-1.2,1.695635241
-0.6,1.470699372
-0.7,1.084803918
-1.1,1.493411993
-1.5,1.375236153
-0.7,1.723678636
1.2,1.323361935
0.9,1.97020006
0.4,1.828998983
1.8,2.741150976
1.8,2.082292708
2.2,2.004073709
1.7,1.782571323
1.3,1.334197538
2.9,0.795572305
2.3,1.09858423
2.7,1.303764837
2.5,1.002462326
1.9,1.730862679
0.4,1.884679627
0.2,1.838953479
1,2.339534747
0.4,1.853217474
1,2.155130613
0.8,1.390336149
1.1,1.597203628
2.5,1.109452126
1.1,1.020224145
0.5,1.453810737
0.7,1.502036915
-0.3,1.553325943
0,2.481060703
-0.4,1.550638038
0,2.080462132
-0.2,1.806206237
0.2,1.769516532
0.3,1.980655615
0.3,1.082105171
-0.6,1.209847102
-0.1,1.735912754
-0.2,0.934689448
1.5,1.932227232
0.2,1.934998094
0.8,2.66895827
1.2,2.273546569
0.8,2.653079138
0.2,1.685948099
0.3,1.247167712
-0.1,1.544132705
0.7,0.903670952
0.1,1.349321135
1.4,1.488071402
0.1,1.268419792
-0.9,1.733867893
0.8,1.866012965
0.5,2.070463733
0.2,2.480679092
-0.2,1.996541481
-0.7,2.252148226
-0.7,1.828442751
-0.6,1.667078662
-0.9,1.15875229
-0.6,0.691593558
-0.8,1.282320576
0.2,1.58327097
-0.7,2.136492299
0,1.677242239
-0.7,1.975037441
-0.6,2.187686275
-1.1,2.221574631
-1.4,1.575949418
-1.6,1.304804928
-1.7,1.662024546
-0.5,1.265013017
-0.6,0.919525605
-2.2,0.940953197
-2,1.528159899
-0.1,1.180943725
-1.2,1.958871413
0.4,1.700138985
0.6,1.865567542
0.4,2.093468702
0.7,2.145878763
1.2,1.684191108
-0.3,1.666647307
-0.1,1.076789712
0.3,1.126543713
0.2,0.64618728
-0.1,1.025579528
0.9,0.934061751
-0.2,2.3881477
0.3,2.105902764
-0.4,2.389832027
0.8,2.223470233
0.5,1.876795228
0.6,2.192649463
0.9,1.33928238
0.9,1.45276527
-0.1,0.907365904
1.1,1.198400788
-0.5,0.976062732
1.5,1.353098402
0.5,1.646558769
0.4,2.265013296
-0.1,2.046110316
0.2,1.951679339
-0.3,1.390288648
-0.9,1.852402162
0.4,1.314990585
-0.1,1.21329229
1,1.196878759
